gruppe;Therapieart laut UL;Substanzbezeichnung;gültig bis;atc_code;ATC-Code gültig bis (WHO-ATC alterations);Änderungsvermerk
;ZS;Ponatinib;;L01XE24;31.12.2020;
;ZS;Ponatinib;;L01EA05;;
;SO;Porfimer natrium;;L01XD01;;
;CH;Pralatrexat;;L01BA05;;
;ZS;Pralsetinib;;L01EX23;;Aktualisierung 31.12.2023
;IM;Prednicarbat;;D07AC18;;Aktualisierung 2024
;CH;Prednimustin;;L01AA08;;
Cortison;SO;Prednisolon;;H02AB06;;
Cortison;SO;Prednison;;H02AB07;;
;CH;Procarbazin;;L01XB01;;
;SO;Psoralen;31.12.2023;D05AD;;Überbegriff (D05AD), spezifischer Wirkstoff: Methoxsalen
;SO;Psoralen;31.12.2023;D05BA;;Überbegriff (D05BA), spezifischer Wirkstoff: Methoxsalen
;ZS;Quizartinib;;L01XE52;31.12.2020;
;ZS;Quizartinib;;L01EX11;;
;HO;Raloxifen;;G03XC01;;
;CH;Raltitrexed;;L01BA03;;
;IM;Ramucirumab;;L01FG02;;
;CH;Ranimustin;;L01AD07;;
;ZS;Regorafenib;;L01XE21;31.12.2020;
;ZS;Regorafenib;;L01EX05;;
;IM;Relatlimab;31.07.2025;fehlt;;Ablaufdatum, gibt es nicht als Einzelsubstanz
;IM;Relatlimab (Kombi mit Nivolumab);31.07.2025;L01XY03;;Ablaufdatum, Bezeichnung Kombi nach ATC: Nivolumab und Relatlimab
;HO;Relugolix;;L02BX04;;Aktualisierung 31.12.2023
;ZS;Repotrectinib;;L01EX28;;Aktualisierung 31.12.2023, Ergänzung ATC-Code (neu seit 2025)
;IM;Retifanlimab;;L01FF10;;Aktualisierung 31.12.2023
;ZS;Revumenib;;fehlt;;Aktualisierung 2025
;ZS;Ribociclib;;L01XE42;31.12.2020;
;ZS;Ribociclib;;L01EF02;;
;ZS;Rigosertib;;fehlt;;
;IM;Rilonacept;;L04AC04;;
;IM;Rilotumumab;;fehlt;;Aktualisierung 31.12.2023
;IM;Rindopepimut;;fehlt;;Aktualisierung 2025
;ZS;Rineterkib;;fehlt;;Aktualisierung 31.12.2023
;ZS;Ripretinib;;L01EX19;;Aktualisierung 31.12.2023
;SO;Risedronsäure;;M05BA07;;
;IM;Rituximab;;L01FA01;;
;ZS;Rociletinib;;L01EB05;;Aktualisierung 2025
;ZS;Romidepsin;;L01XH02;;
;ZS;Romidepsin;;L01XX39 ;31.12.2020;
;ZS;Romiplostim;;B02BX04;;
;IM;Ropeginterferon alfa-2b;;L03AB15;;
;IM;Rovalpituzumab tesirin;;fehlt;;Aktualisierung 31.12.2023
;ZS;Rucaparib;;L01XK03;;Aktualisierung 31.12.2023
;ZS;Ruxolitinib;;L01XE18;31.12.2020;
;ZS;Ruxolitinib;;L01EJ01;;
;IM;Sabatolimab;;L01FX19;;Aktualisierung 31.12.2023
;IM;Sacituzumab govitecan;;L01FX17;;bis 31.07.2025 gelistet mit dem Namen Sacituzumab Govitecan-hziy , Schreibweise aktualisiert laut ATC
;CH;Satraplatin;;L01XA04;;
;ZS;Savolitinib;;fehlt;;Aktualisierung 2025
;ZS;Selinexor;;L01XX66;;
;ZS;Selpercatinib;;L01EX22;;
;ZS;Selumetinib;;L01EE04;;Aktualisierung 31.12.2023
;CH;Semustin;;L01AD03;;
;IM;Seribantumab;;fehlt;;Aktualisierung 31.12.2023
;IM;Serplulimab;;L01FF12;;Aktualisierung 2025
;IM;Siltuximab;;L04AC11;;Aktualisierung 2024
;IM;Sintilimab;;fehlt;;Aktualisierung 2024
;ZS;Siremadlin;;fehlt;;
;ZS;Sirolimus;;L04AA10;31.12.2023;
;ZS;Sirolimus;;L04AH01;;
;IM;Sitimagen ceradenovec;;L01XL01;;Aktualisierung 2024
;HO;Somatostatin;;H01CB01;;Aktualisierung 31.12.2023
;ZS;Sonidegib;;L01XJ02;;Aktualisierung 31.12.2023
;ZS;Sorafenib;;L01EX02;;
;ZS;Sorafenib;;L01XE05;31.12.2020;
;ZS;Sotorasib;;L01XX73;;Aktualisierung 31.12.2023
;IM;Spartalizumab;;fehlt;;
;CH;Streptozocin;;L01AD04;;
;SO;Studienmedikament;;fehlt;;
;IM;Sugemalimab;;L01FF11;;Aktualisierung 2024
;ZS;Sunitinib;;L01XE04;31.12.2020;
;ZS;Sunitinib;;L01EX01;;
;IM;Tacrolimus;;L04AA05;31.12.2007;
;IM;Tacrolimus;;D11AX14;31.12.2009;
;IM;Tacrolimus;;L04AD02;;
;IM;Tafasitamab;;L01FX12;;Aktualisierung 31.12.2023
;IM;Tagraxofusp;;L01XX67;;
;IM;Talacotuzumab;;fehlt;;
;ZS;Talazoparib;;L01XX60;31.12.2020;
;ZS;Talazoparib;;L01XK04;;
;ZS;Talimogen laherparepvec;;L01XX51;31.12.2022;
;ZS;Talimogen laherparepvec;;L01XL02;;
;IM;Talquetamab;;L01FX29;;Aktualisierung 2024
;HO;Tamoxifen;;L02BA01;;
;IM;Tarlatamab;;L01FX33;;Aktualisierung 2025
;ZS;Tasidotin;;fehlt;;Aktualisierung 2025
;SO;Tasonermin;;L03AX11;;
;ZS;Tazemetostat;;L01XX72;;Aktualisierung 31.12.2023
;IM;Tebentafusp;;L01XX75;;Aktualisierung 31.12.2023
;IM;Teclistamab;;L01FX24;;Aktualisierung 31.12.2023, Korrektur Februar 2024 (ATC-Code ergänzt)
;CH;Tegafur;;L01BC03;;Aktualisierung 31.12.2023, bis 31.07.2025 gelistet mit dem Namen Tegafur, Kombinationen und ATC-Code L01BC53, ersetzt durch Tegafur/L01BC03
;CH;Tegafur, Uracil;;L01BC63;;Aktualisierung 31.12.2023
;CH;Tegafur,Gimeracil,Oteracil;;L01BC73;;
;CH;Temoporfin;;L01XD05;;
;CH;Temozolomid;;L01AX03;;
;ZS;Temsirolimus;;L01XE09;31.12.2020;
;ZS;Temsirolimus;;L01EG01;;
;CH;Teniposid;;L01CB02;;
;ZS;Tepotinib;;L01EX21;;Aktualisierung 31.12.2023
;ZS;Thalidomid;;L04AX02;;
;CH;Thiotepa;;L01AC01;;
;ZS;Tiazofurin;;L01XX18;;
;ZS;Tilsotolimod;;fehlt;;Aktualisierung 31.12.2023
;SO;Tiludronsäure;;M05BA05;;
;CH;Tioguanin;;L01BB03;;
;ZS;Tipifarnib;;fehlt;;
;ZS;Tirabrutinib;;L01EL06;;Aktualisierung 31.12.2023, Ergänzung ATC-Code (neu seit 2025)
;IM;Tiragolumab;;fehlt;;Aktualisierung 31.12.2023
;IM;Tisagenlecleucel;;L01XX71;31.12.2022;
;IM;Tisagenlecleucel;;L01XL04;;
;IM;Tislelizumab;;L01FF09;;
;IM;Tisotumab vedotin;;L01FX23;;Aktualisierung 31.12.2023, Ergänzung ATC-Code (neu seit 2024)
;ZS;Tivantinib;;fehlt;;
;ZS;Tivozanib;;L01XE34;31.12.2020;
;ZS;Tivozanib;;L01EK03;;
;IM;Tocilizumab;;L04AC07;;
;IM;Tomuzotuximab;;fehlt;;Aktualisierung 31.12.2023
;CH;Topotecan;;L01XX17;31.12.2020;
;CH;Topotecan;;L01CE01;;
;HO;Toremifen;;L02BA02;;
;IM;Toripalimab;;L01FF13;;Aktualisierung 31.12.2023, Ergänzung ATC-Code (neu seit 2024)
;IM;Tositumomab;31.12.2023;V10XA53;;Radioimmuntherapie mit J-131, ab oBDS als Strahlentherapie melden
;ZS;Tovorafenib;;fehlt;;Aktualisierung 2024
;CH;Trabectedin;;L01CX01;;
;ZS;Trametinib;;L01XE25;31.12.2020;
;ZS;Trametinib;;L01EE01;;
;IM;Trastuzumab;;L01FD01;;
;IM;Trastuzumab deruxtecan;;L01FD04;;
;IM;Trastuzumab duocarmazin;;L01FD05;;bis 31.07.2025 gelistet mit dem Namen Trastuzumab duocarmarzine, Schreibweise aktualisiert laut ATC
;IM;Trastuzumab emtansin;;L01FD03;;bis 31.07.2025 gelistet mit dem Namen Trastuzumab Emtansin, Schreibweise aktualisiert laut ATC
;ZS;Trebananib;;fehlt;;
;IM;Tremelimumab;;L01FX20;;
;CH;Treosulfan;;L01AB02;;
;SO;Tretinoin;;L01XX14;31.12.2020;
;SO;Tretinoin;;L01XF01;;
;CH;Triaziquon;;L01AC02;;
;CH;Trifluridin, Kombinationen;;L01BC59;;
;HO;Triptorelin;;L02AE04;;
;CH;Trofosfamid;;L01AA07;;
;ZS;Tucatinib;;L01EH03;;
;IM;Tumorlysat-gepulsten dendritischen Zellen;;fehlt;;Aktualisierung 2025
;IM;Ubamatamab;;fehlt;;Aktualisierung 2025
;ZS;Umirolimus;;fehlt;;
;CH;Uramustin;;L01AD08;;
;IM;Urelumab;;fehlt;;
;ZS;Valproinsäure;;N03AG01;;
;CH;Valrubicin;;L01DB09;;
;ZS;Vandetanib;;L01XE12;31.12.2020;
;ZS;Vandetanib;;L01EX04;;
;ZS;Veliparib;;L01XK05;;
;ZS;Vemurafenib;;L01XE15;31.12.2020;
;ZS;Vemurafenib;;L01EC01;;
;ZS;Venetoclax;;L01XX52;;
;IM;Vibostolimab;;fehlt;;Aktualisierung 31.12.2023
;CH;Vinblastin;;L01CA01;;
;CH;Vincristin;;L01CA02;;
;CH;Vindesin;;L01CA03;;
;CH;Vinflunin;;L01CA05;;
;CH;Vinorelbin;;L01CA04;;
;ZS;Vismodegib;;L01XJ01;;
;ZS;Vismodegib;;L01XX43;31.12.2020;
;IM;Voclosporin;;L04AD03;;
;ZS;Volasertib;;fehlt;;
;ZS;Volrustomig;;fehlt;;Aktualisierung 2025
;ZS;Vorinostat;;L01XX38;31.12.2020;
;ZS;Vorinostat;;L01XH01;;
;HO;Vorozol;;L02BG05;;
;CH;Vosaroxin;;L01XX53;;Aktualisierung 31.12.2023
;IM;Zanidatamab;;fehlt;;Aktualisierung 2025
;ZS;Zanubrutinib;;L01EL03;;
;IM;Zenocutuzumab;;fehlt;;Aktualisierung 2025
;IM;Zilovertamab vedotin;;fehlt;;Aktualisierung 2024
;IM;Zolbetuximab;;L01FX31;;Aktualisierung 2025
Knochenprotektion;SO;Zoledronsäure;;M05BA08;;
;ZS;Zongertinib;;fehlt;;Aktualisierung 2025
;CH;Zorubicin;;L01DB05;;
;ZS;Zotarolimus;;fehlt;;
